full_text_final_entire,type_taegyoon,type_drew,stance_taegyoon,stance_drew,stance_final,stance_binary_pro_rest_taegyoon,stance_binary_pro_rest_drew,stance_binary_anti_rest_taegyoon,stance_binary_anti_rest_drew
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,HPV,HPV,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,Flu,Flu,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,General,General,0,0,0,0,0,0,0
,COVID-19,COVID-19,0,0,0,0,0,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Animal,Animal,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,Measles,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,Flu,Flu,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,HPV,HPV,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,General,General,1,1,1,1,1,0,0
,COVID-19,COVID-19,1,1,1,1,1,0,0
,Measles,Measles,1,1,1,1,1,0,0
